video_id,frame_timestamp,x1,y1,x2,y2,action_id,person_id
100_clip_000,0,0.719290,0.081030,0.797071,0.420391,19,6484
100_clip_000,0,0.719290,0.081030,0.797071,0.420391,42,6484
100_clip_000,0,0.650110,0.001860,0.703712,0.267347,23,6485
100_clip_000,0,0.650110,0.001860,0.703712,0.267347,35,6485
100_clip_000,0,0.685692,0.068036,0.765099,0.414756,2,6484
100_clip_000,0,0.685692,0.068036,0.765099,0.414756,42,6484
100_clip_000,0,0.685692,0.068036,0.765099,0.414756,48,6484
100_clip_000,0,0.696979,0.030351,0.766237,0.335566,13,6484
100_clip_000,0,0.652095,0.028494,0.726339,0.396439,6,6485
100_clip_000,0,0.652095,0.028494,0.726339,0.396439,12,6485
100_clip_000,0,0.652095,0.028494,0.726339,0.396439,20,6485
100_clip_000,0,0.714754,0.004835,0.788013,0.329796,4,6484
100_clip_000,0,0.714754,0.004835,0.788013,0.329796,11,6484
100_clip_000,0,0.714754,0.004835,0.788013,0.329796,22,6484
100_clip_000,0,0.643089,0.015925,0.718681,0.391456,1,6485
100_clip_000,0,0.643089,0.015925,0.718681,0.391456,17,6485
100_clip_000,0,0.643089,0.015925,0.718681,0.391456,42,6485
100_clip_000,0,0.732326,0.019277,0.809244,0.363665,25,6484
100_clip_000,0,0.640729,0.004953,0.712016,0.359142,12,6485
100_clip_000,0,0.640729,0.004953,0.712016,0.359142,30,6485
100_clip_000,0,0.749959,0.021757,0.832855,0.395723,3,6484
100_clip_000,0,0.635968,0.000788,0.699929,0.316718,42,6485
100_clip_000,0,0.764922,0.045097,0.849827,0.432345,27,6484
100_clip_000,0,0.627308,-0.001273,0.684244,0.276263,3,6485
100_clip_000,0,0.581543,0.000055,0.606857,0.061699,21,6487
100_clip_000,0,0.581543,0.000055,0.606857,0.061699,33,6487
100_clip_000,0,0.774775,0.077773,0.857751,0.460065,1,6484
100_clip_000,0,0.774775,0.077773,0.857751,0.460065,31,6484
100_clip_000,0,0.774775,0.077773,0.857751,0.460065,48,6484
100_clip_000,0,0.788160,0.088634,0.875672,0.497004,9,6484
100_clip_000,0,0.608529,-0.000410,0.653311,0.205380,6,6485
100_clip_000,0,0.608529,-0.000410,0.653311,0.205380,34,6485
100_clip_000,0,0.596671,0.000177,0.634608,0.169337,24,6485
100_clip_000,0,0.579428,0.000214,0.611533,0.138282,2,6485
100_clip_000,0,0.579428,0.000214,0.611533,0.138282,9,6485
100_clip_000,0,0.579428,0.000214,0.611533,0.138282,18,6485
100_clip_000,0,0.656277,0.001054,0.691318,0.116510,45,6491
100_clip_000,0,0.816979,0.181605,0.909023,0.629178,7,6484
100_clip_000,0,0.568689,-0.000403,0.597588,0.119721,6,6485
100_clip_000,0,0.568689,-0.000403,0.597588,0.119721,29,6485
100_clip_000,0,0.568689,-0.000403,0.597588,0.119721,37,6485
100_clip_000,0,0.669043,0.001614,0.708266,0.130797,22,6491
100_clip_000,0,0.669043,0.001614,0.708266,0.130797,28,6491
100_clip_000,0,0.669043,0.001614,0.708266,0.130797,39,6491
100_clip_000,0,0.849025,0.206682,0.946582,0.681695,15,6484
100_clip_000,0,0.679382,0.001536,0.723751,0.147939,1,6491
100_clip_000,0,0.679382,0.001536,0.723751,0.147939,9,6491
100_clip_000,0,0.679382,0.001536,0.723751,0.147939,31,6491
100_clip_000,0,0.575148,0.000907,0.620173,0.111870,23,6487
100_clip_000,0,0.575148,0.000907,0.620173,0.111870,47,6487
100_clip_000,0,0.888521,0.258571,0.984773,0.727857,5,6484
100_clip_000,0,0.888521,0.258571,0.984773,0.727857,41,6484
100_clip_000,0,0.888521,0.258571,0.984773,0.727857,45,6484
